generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2319500,4,-624.349,-180.517,2.83355,0.608
2320000,5,-628.095,-171.668,3.41075,0.594
2320500,3,-616.2,-181.867,0.825358,0.604
2321000,3,-628.496,-171.854,4.75416,0.561
2321500,4,-621.197,-187.993,2.60403,0.498
2322000,5,-635.416,-163.398,2.53961,0.515
2322500,4,-622.418,-180.961,1.64207,0.57
2323000,5,-646.345,-152.13,0.756109,0.575273
2323500,4,-630.592,-169.487,1.78368,0.52
2324000,5,-645.16,-162.834,1.73694,0.527
2324500,7,-668.38,-141.504,3.12677,0.586
2325000,9,-619.684,-186.923,3.83941,0.5597
2325500,10,-614.675,-197.06,7.39565,0.626
2326000,10,-663.654,-136.352,4.70808,0.5465
2326500,11,-660.69,-154.883,7.73063,0.602
2327000,6,-665.555,-136.06,3.5906,0.612333
2327500,4,-672.969,-129.475,1.7413,0.562
2328000,2,-601.197,-202.409,2.47121,0.583
2328500,4,-628.41,-182.897,1.55207,0.466
2329000,3,-653.539,-152.77,3.07034,0.595667
2329500,5,-653.773,-149.051,2.56382,0.502
2330000,4,-637.141,-165.634,1.72982,0.496
2330500,4,-656.811,-145.633,1.87637,0.63
2331000,8,-668.847,-142.647,2.32238,0.554
2331500,7,-675.464,-129.322,3.06274,0.572
2332000,4,-627.575,-170.027,1.37118,0.5705
2332500,3,-614.143,-183.552,0.971645,0.498
2333000,5,-618.026,-185.451,1.03045,0.544
2333500,3,-615.56,-180.662,0.657771,0.53
2334000,3,-619.223,-180.387,1.992,0.551
2334500,6,-611.799,-190.591,4.07283,0.532
2335000,6,-622.732,-183.064,2.13852,0.55775
2335500,5,-626.311,-171.215,2.45179,0.558
2336000,3,-621.453,-177.917,1.89471,0.566444
2336500,4,-618.769,-179.93,1.60526,0.572
2337000,5,-570.596,-231.633,1.66748,0.59
2337500,4,-596.797,-208.734,4.02275,0.546
2338000,4,-589.39,-211.329,1.04031,0.545
2338500,5,-594.785,-209.719,3.1381,0.576
2339000,5,-608.997,-193.68,1.65212,0.559556
2339500,4,-608.348,-194.323,1.9117,0.592
2340000,5,-607.813,-195.279,3.08485,0.574
2340500,2,-626.376,-171.937,2.41305,0.568
2341000,2,-567.493,-234.137,0.88314,0.507
2341500,2,-588.94,-211.417,0.963776,0.52
2342000,2,-581.142,-220.367,1.4507,0.487
2342500,4,-592.815,-207.328,2.23255,0.488
2343000,2,-628.894,-170.739,0.428656,0.547556
2343500,5,-656.147,-156.891,4.15943,0.498
2344000,7,-667.224,-137.852,3.39803,0.533
2344500,8,-660.904,-142.863,3.1941,0.62
2345000,6,-655.755,-149.928,8.48765,0.62
2345500,6,-663.867,-139.101,4.22843,0.596
2346000,5,-649.355,-151.406,3.6314,0.53275
2346500,5,-661.032,-140.423,3.97315,0.588
2347000,3,-621.904,-180.253,1.51346,0.524167
2347500,4,-627.834,-173.473,0.943186,0.578
2348000,7,-720.153,-88.7785,4.09588,0.5461
2348500,6,-702.165,-103.296,4.868,0.612
2349000,4,-675.616,-125.2,5.42235,0.580667
2349500,3,-677.237,-127.358,1.67452,0.506
2350000,5,-698.814,-110.832,3.21773,0.528
2350500,3,-667.442,-135.201,2.1122,0.574
2351000,9,-684.753,-134.849,5.14992,0.596
2351500,4,-667.328,-135.121,4.49115,0.574
2352000,7,-615.215,-192.709,2.84006,0.582143
2352500,7,-619.069,-186.035,4.40808,0.616
2353000,6,-611.167,-192.429,6.21397,0.614
2353500,6,-613.149,-189.777,1.99921,0.592
2354000,4,-666.338,-133.604,3.27119,0.589667
2354500,5,-661.613,-143.514,2.82278,0.56
2355000,3,-708.936,-92.6414,1.98734,0.598857
2355500,4,-704.038,-99.8078,1.49083,0.55
2356000,4,-691.842,-110.668,2.42401,0.552
2356500,2,-697.666,-100.4,0.676207,0.492
2357000,3,-695.035,-106.037,3.09345,0.569
2357500,6,-703.258,-108.196,3.39158,0.562
2358000,9,-669.934,-136.039,3.81089,0.574636
2358500,9,-675.03,-128.915,7.75161,0.622
2359000,14,-687.178,-132.924,9.14092,0.622
2359500,16,-688.498,-138.835,13.3636,0.658
2360000,10,-638.852,-178.822,8.07662,0.600571
2360500,7,-658.825,-152.292,5.71349,0.594
2361000,6,-626.492,-180.085,4.04495,0.583
2361500,4,-627.448,-175.001,1.94521,0.604
2362000,9,-710.692,-105.291,9.18993,0.6
2362500,6,-693.191,-112.973,7.15212,0.572
2363000,4,-655.302,-155.918,6.07384,0.564
2363500,4,-677.486,-123.748,3.07038,0.504
2364000,2,-673.285,-124.655,2.84304,0.507
2364500,5,-654.583,-144.932,1.75064,0.522
2365000,4,-693.577,-107.154,2.67512,0.538667
2365500,3,-695.519,-107.693,0.932158,0.572
2366000,5,-693.531,-110.379,1.33334,0.57
2366500,4,-705.611,-100.642,2.26892,0.566
2367000,3,-694.264,-106.542,2.94144,0.537
2367500,2,-690.136,-108.529,0.616816,0.524
2368000,2,-687.842,-112.534,0.801988,0.485
2368500,4,-685.119,-113.877,3.78703,0.488
2369000,4,-674.645,-123.551,1.43435,0.484
2369500,6,-699.385,-109.048,4.33106,0.556
2370000,5,-687.17,-118.579,2.69007,0.581
2370500,3,-675.285,-127.322,2.21448,0.572
2371000,5,-679.217,-121.097,2.8735,0.582
2371500,5,-698.604,-105.546,2.77885,0.564
2372000,8,-589.155,-220.27,2.03218,0.581667
2372500,5,-603.7,-209.395,4.09068,0.578
2373000,5,-593.211,-213.694,3.50649,0.582
2373500,2,-590.104,-208.068,2.18768,0.594
2374000,3,-596.749,-202.214,1.52578,0.571
2374500,5,-629.73,-179.066,3.12209,0.602
2375000,6,-615.416,-193.239,3.64243,0.599
2375500,4,-603.012,-199.364,1.80612,0.526
2376000,5,-604.051,-196.624,3.65807,0.553
2376500,3,-612.004,-190.669,2.84184,0.564
2377000,10,-654.075,-165.88,5.46738,0.583778
2377500,4,-641.377,-163.254,0.921539,0.618
