
code	|	name	|	preferred name	|	taxid
1	|	Afrotyphlops schlegelii	|	 	|	759996
3	|	Afrotyphlops schmidti	|	 	|	 
1	|	Afrotyphlops steinhausi	|	 	|	2358260
3	|	Afrotyphlops tanganicanus	|	 	|	 
3	|	Afrotyphlops usambaricus	|	 	|	 
1	|	Agama aculeata	|	 	|	175446
1	|	Agama africana	|	 	|	888281
1	|	Agama agama	|	 	|	103336
1	|	Agama anchietae	|	 	|	175447
1	|	Agama armata	|	 	|	175448
1	|	Agama atra	|	 	|	52208
2	|	Agama bibronii	|	Agama impalearis	|	129731
3	|	Agama bocourti	|	 	|	 
1	|	Agama boensis	|	 	|	1000954
1	|	Agama bottegi	|	 	|	175450
1	|	Agama boueti	|	 	|	175451
1	|	Agama boulengeri	|	 	|	175452
1	|	Agama caudospinosa	|	 	|	175453
1	|	Agama cristata	|	 	|	888283
1	|	Agama dodomae	|	Agama lionotus dodomae	|	1247904
1	|	Agama doriae	|	 	|	175455
1	|	Agama etoshae	|	 	|	175456
1	|	Agama finchi	|	 	|	690286
1	|	Agama gracilimembris	|	 	|	175457
1	|	Agama hartmanni	|	 	|	175458
1	|	Agama hispida	|	 	|	175459
3	|	Agama hulbertorum	|	 	|	 
1	|	Agama insularis	|	 	|	175460
1	|	Agama kaimosae	|	 	|	690287
1	|	Agama kirkii	|	 	|	175461
1	|	Agama knobeli	|	 	|	497096
1	|	Agama lanzai	|	 	|	2202105
1	|	Agama lebretoni	|	 	|	888282
1	|	Agama lionotus	|	 	|	662664
3	|	Agama lucyae	|	 	|	 
1	|	Agama montana	|	 	|	175463
1	|	Agama mossambica	|	 	|	175464
3	|	Agama mucosoensis	|	 	|	 
1	|	Agama mwanzae	|	 	|	175465
1	|	Agama parafricana	|	 	|	1000949
1	|	Agama paragama	|	 	|	175466
3	|	Agama persimilis	|	 	|	 
1	|	Agama picticauda	|	 	|	1247906
1	|	Agama planiceps	|	 	|	175468
1	|	Agama robecchii	|	 	|	175469
1	|	Agama rueppelli	|	 	|	175470
1	|	Agama sankaranica	|	 	|	175471
3	|	Agama somalica	|	 	|	 
1	|	Agama spinosa	|	 	|	175472
1	|	Agama tassiliensis	|	 	|	1135959
1	|	Agama turuensis	|	 	|	1247907
3	|	Agama wachirai	|	 	|	 
1	|	Agama weidholzi	|	 	|	175473
1	|	Agamodon anguliceps	|	 	|	261490
1	|	Agamodon arabicus	|	 	|	2906464
1	|	Agamodon compressus	|	 	|	2906465
1	|	Agamura cruralis	|	Agamura persica cruralis	|	2600260
1	|	Agamura kermanensis	|	 	|	2600256
1	|	Agamura persica	|	 	|	401556
3	|	Agasthyagama beddomei	|	 	|	 
1	|	Agkistrodon bilineatus	|	 	|	8718
1	|	Agkistrodon conanti	|	 	|	2782195
1	|	Agkistrodon contortrix	|	 	|	8720
1	|	Agkistrodon howardgloydi	|	 	|	109979
1	|	Agkistrodon laticinctus	|	 	|	2782196
1	|	Agkistrodon piscivorus	|	 	|	8715
1	|	Agkistrodon russeolus	|	 	|	109980
1	|	Agkistrodon taylori	|	 	|	110123
1	|	Ahaetulla anomala	|	 	|	1986406
1	|	Ahaetulla borealis	|	 	|	2729182
1	|	Ahaetulla dispar	|	 	|	2729157
1	|	Ahaetulla farnsworthi	|	 	|	2729183
1	|	Ahaetulla fasciolata	|	 	|	1899434
1	|	Ahaetulla flavescens	|	 	|	2884527
1	|	Ahaetulla fronticincta	|	 	|	186573
3	|	Ahaetulla fusca	|	 	|	 
1	|	Ahaetulla isabellina	|	 	|	2729185
1	|	Ahaetulla laudankia	|	 	|	2575985
1	|	Ahaetulla malabarica	|	 	|	2729186
1	|	Ahaetulla mycterizans	|	 	|	1899435
1	|	Ahaetulla nasuta	|	 	|	910399
3	|	Ahaetulla oxyrhynca	|	 	|	 
1	|	Ahaetulla perroteti	|	 	|	2729158
1	|	Ahaetulla prasina	|	 	|	499056
1	|	Ahaetulla pulverulenta	|	 	|	1296312
1	|	Ahaetulla rufusoculara	|	 	|	2838309
3	|	Ahaetulla sahyadrensis	|	 	|	 
1	|	Ahaetulla travancorica	|	 	|	2729188
1	|	Ailuronyx seychellensis	|	 	|	232285
1	|	Ailuronyx tachyscopaeus	|	 	|	1208008
1	|	Ailuronyx trachygaster	|	 	|	1208009
1	|	Aipysurus apraefrontalis	|	 	|	355674
1	|	Aipysurus duboisii	|	 	|	355675
1	|	Aipysurus eydouxii	|	 	|	274825
1	|	Aipysurus foliosquama	|	 	|	1577777
1	|	Aipysurus fuscus	|	 	|	355676
1	|	Aipysurus laevis	|	 	|	8678
1	|	Aipysurus mosaicus	|	 	|	1295303
1	|	Aipysurus pooleorum	|	 	|	1265251
1	|	Aipysurus tenuis	|	 	|	2233555
1	|	Aldabrachelys gigantea	|	 	|	167804
1	|	Alexandresaurus camacan	|	 	|	1235868
1	|	Algyroides fitzingeri	|	 	|	89910
3	|	Algyroides hidalgoi	|	 	|	 
1	|	Algyroides moreoticus	|	 	|	64413
1	|	Algyroides nigropunctatus	|	 	|	64414
3	|	Alinea lanceolata	|	 	|	 
3	|	Alinea luciae	|	 	|	 
1	|	Alligator mississippiensis	|	 	|	8496
1	|	Alligator sinensis	|	 	|	38654
1	|	Alluaudina bellyi	|	 	|	224539
3	|	Alluaudina mocquardi	|	 	|	 
3	|	Alopecion guttatum	|	 	|	 
3	|	Alopoglossus amazonius	|	 	|	 
3	|	Alopoglossus andeanus	|	 	|	 
1	|	Alopoglossus angulatus	|	 	|	979739
1	|	Alopoglossus atriventris	|	 	|	174768
3	|	Alopoglossus avilapiresae	|	 	|	 
3	|	Alopoglossus bicolor	|	 	|	 
3	|	Alopoglossus bilineatus	|	 	|	 
3	|	Alopoglossus brevifrontalis	|	 	|	 
1	|	Alopoglossus buckleyi	|	 	|	1507346
1	|	Alopoglossus carinicaudatus	|	 	|	174769
3	|	Alopoglossus collii	|	 	|	 
1	|	Alopoglossus copii	|	 	|	174770
3	|	Alopoglossus danieli	|	 	|	 
3	|	Alopoglossus embera	|	 	|	 
3	|	Alopoglossus eurylepis	|	 	|	 
1	|	Alopoglossus festae	|	 	|	1507356
3	|	Alopoglossus gansorum	|	 	|	 
3	|	Alopoglossus gorgonae	|	 	|	 
3	|	Alopoglossus grandisquamatus	|	 	|	 
3	|	Alopoglossus harrisi	|	 	|	 
3	|	Alopoglossus indigenorum	|	 	|	 
3	|	Alopoglossus kugleri	|	 	|	 
3	|	Alopoglossus lehmanni	|	 	|	 
3	|	Alopoglossus meloi	|	 	|	 
1	|	Alopoglossus myersi	|	 	|	2927060
1	|	Alopoglossus plicatus	|	Ptychoglossus plicatus	|	2202453
3	|	Alopoglossus romaleos	|	 	|	 
3	|	Alopoglossus stenolepis	|	 	|	 
3	|	Alopoglossus tapajosensis	|	 	|	 
3	|	Alopoglossus theodorusi	|	 	|	 
3	|	Alopoglossus vallensis	|	 	|	 
1	|	Alopoglossus viridiceps	|	 	|	1507353
1	|	Alpinoscincus alpinus	|	 	|	1545018
3	|	Alpinoscincus subalpinus	|	 	|	 
1	|	Alsophis antiguae	|	 	|	121296
1	|	Alsophis antillensis	|	 	|	121297
3	|	Alsophis danforthi	|	 	|	 
1	|	Alsophis manselli	|	 	|	1381497
1	|	Alsophis rijgersmaei	|	 	|	643622
1	|	Alsophis rufiventris	|	 	|	643623
3	|	Alsophis sanctonum	|	 	|	 
1	|	Alsophis sibonius	|	 	|	1381498
1	|	Alsophylax laevis	|	 	|	3063151
1	|	Alsophylax loricatus	|	 	|	3063152
1	|	Alsophylax pipiens	|	 	|	1208011
1	|	Alsophylax przewalskii	|	 	|	3063153
3	|	Alsophylax szczerbaki	|	 	|	 
1	|	Alsophylax tadjikiensis	|	 	|	3063154
3	|	Altiphylax baturensis	|	 	|	 
1	|	Altiphylax levitoni	|	 	|	1353231
3	|	Altiphylax mintoni	|	 	|	 
1	|	Altiphylax stoliczkai	|	 	|	1395654
1	|	Altiphylax tokobajevi	|	 	|	3063158
3	|	Amalosia jacovae	|	 	|	 
1	|	Amalosia lesueurii	|	 	|	679170
1	|	Amalosia obscura	|	 	|	1155136
1	|	Amalosia rhombifer	|	 	|	630712
1	|	Amapasaurus tetradactylus	|	 	|	1539292
1	|	Amastridium sapperi	|	 	|	697014
1	|	Amastridium veliferum	|	 	|	697013
1	|	Amblyodipsas concolor	|	 	|	2137768
1	|	Amblyodipsas dimidiata	|	 	|	382731
3	|	Amblyodipsas katangensis	|	 	|	 
1	|	Amblyodipsas microphthalma	|	 	|	2137769
1	|	Amblyodipsas polylepis	|	 	|	292858
3	|	Amblyodipsas rodhaini	|	 	|	 
3	|	Amblyodipsas teitana	|	 	|	 
1	|	Amblyodipsas unicolor	|	 	|	2137767
1	|	Amblyodipsas ventrimaculata	|	 	|	2138172
1	|	Amblyrhynchus cristatus	|	 	|	51208
1	|	Ameiva aggerecusans	|	 	|	1446313
1	|	Ameiva ameiva	|	 	|	8535
3	|	Ameiva atrigularis	|	 	|	 
1	|	Ameiva bifrontata	|	 	|	171152
1	|	Ameiva concolor	|	 	|	1446315
3	|	Ameiva fuliginosa	|	 	|	 
1	|	Ameiva jacuba	|	 	|	1273573
1	|	Ameiva nodam	|	 	|	1446316
3	|	Ameiva pantherina	|	 	|	 
1	|	Ameiva parecis	|	 	|	1273572
1	|	Ameiva praesignis	|	 	|	2927045
3	|	Ameiva provitaae	|	 	|	 
3	|	Ameiva reticulata	|	 	|	 
3	|	Ameiva tobagana	|	 	|	 
3	|	Ameivula abalosi	|	 	|	 
3	|	Ameivula apipensis	|	 	|	 
3	|	Ameivula cipoensis	|	 	|	 
3	|	Ameivula confusioniba	|	 	|	 
3	|	Ameivula jalapensis	|	 	|	 
1	|	Ameivula mumbuca	|	 	|	1979143
3	|	Ameivula nativo	|	 	|	 
3	|	Ameivula nigrigula	|	 	|	 
1	|	Ameivula ocellifera	|	 	|	96437
3	|	Ameivula pyrrhogularis	|	 	|	 
3	|	Ameivula xacriaba	|	 	|	 
1	|	Amerotyphlops amoipira	|	 	|	1539294
1	|	Amerotyphlops arenensis	|	 	|	2338397
1	|	Amerotyphlops brongersmianus	|	 	|	1680133
1	|	Amerotyphlops caetanoi	|	 	|	2968378
3	|	Amerotyphlops costaricensis	|	 	|	 
2	|	Amerotyphlops illusorium	|	Amerotyphlops sp. RMendes-2022b	|	2968379
3	|	Amerotyphlops lehneri	|	 	|	 
2	|	Amerotyphlops martis	|	Amerotyphlops sp. RMendes-2022c	|	2968380
3	|	Amerotyphlops microstomus	|	 	|	 
1	|	Amerotyphlops minuisquamus	|	 	|	2338399
2	|	Amerotyphlops montanum	|	Amerotyphlops sp. RMendes-2022d	|	2968381
1	|	Amerotyphlops paucisquamus	|	 	|	2338398
1	|	Amerotyphlops reticulatus	|	 	|	534403
3	|	Amerotyphlops stadelmani	|	 	|	 
1	|	Amerotyphlops tasymicris	|	 	|	1454271
3	|	Amerotyphlops tenuis	|	 	|	 
3	|	Amerotyphlops trinitatus	|	 	|	 
1	|	Amerotyphlops tycherus	|	 	|	1720239
1	|	Amerotyphlops yonenagae	|	 	|	2338402
3	|	Amnesteophis melanauchen	|	 	|	 
3	|	Amnisiophis amoenus	|	 	|	 
1	|	Amphibolurus burnsi	|	 	|	993422
1	|	Amphibolurus centralis	|	 	|	993421
1	|	Amphibolurus muricatus	|	 	|	116113
1	|	Amphibolurus norrisi	|	 	|	206553
1	|	Amphiesma monticola	|	Amphiesma monticolum	|	2899877
1	|	Amphiesma stolatum	|	 	|	186574
1	|	Amphiesmoides ornaticeps	|	 	|	1539388
1	|	Amphiglossus astrolabi	|	 	|	249458
1	|	Amphiglossus reticulatus	|	 	|	249446
3	|	Amphisbaena absaberi	|	 	|	 
3	|	Amphisbaena acangaoba	|	 	|	 
3	|	Amphisbaena acrobeles	|	 	|	 
1	|	Amphisbaena alba	|	 	|	261495
3	|	Amphisbaena albocingulata	|	 	|	 
1	|	Amphisbaena anaemariae	|	 	|	643081
1	|	Amphisbaena angustifrons	|	 	|	643134
1	|	Amphisbaena anomala	|	 	|	261488
3	|	Amphisbaena arda	|	 	|	 
1	|	Amphisbaena arenaria	|	 	|	1955062
3	|	Amphisbaena arenicola	|	 	|	 
1	|	Amphisbaena bahiana	|	 	|	2305474
1	|	Amphisbaena bakeri	|	 	|	493894
1	|	Amphisbaena barbouri	|	 	|	493895
3	|	Amphisbaena bedai	|	 	|	 
1	|	Amphisbaena bilabialata	|	 	|	1745317
1	|	Amphisbaena bolivica	|	 	|	643082
3	|	Amphisbaena borelli	|	 	|	 
1	|	Amphisbaena brasiliana	|	 	|	643135
3	|	Amphisbaena brevis	|	 	|	 
1	|	Amphisbaena caeca	|	 	|	493896
1	|	Amphisbaena caetitensis	|	 	|	2493999
1	|	Amphisbaena caiari	|	 	|	1513894
1	|	Amphisbaena camura	|	 	|	261507
1	|	Amphisbaena carlgansi	|	 	|	493897
1	|	Amphisbaena carli	|	 	|	2024434
3	|	Amphisbaena carvalhoi	|	 	|	 
3	|	Amphisbaena caudalis	|	 	|	 
3	|	Amphisbaena cayemite	|	 	|	 
3	|	Amphisbaena cegei	|	 	|	 
1	|	Amphisbaena crisae	|	 	|	2202106
1	|	Amphisbaena cubana	|	 	|	266057
