generation,N_shifts,logPrior,logLik,eventRate,acceptRate
102500,0,-0.680863,-419.588,0.34551,0.418
103000,0,0.847983,-418.272,0.00434096,0.384
103500,0,0.852106,-419.114,0.294745,0.336
104000,0,1.14222,-419.953,0.000702257,0.334
104500,0,0.547158,-423.838,0.582061,0.266
105000,0,1.04597,-419.253,0.0833867,0.263
105500,0,1.12346,-418.334,0.0152197,0.292
106000,0,0.89706,-418.657,0.244775,0.278
106500,0,0.752735,-418.187,0.388449,0.302
107000,0,0.709685,-419.373,0.423597,0.291
107500,0,0.93865,-420.333,0.17494,0.26
108000,0,0.312493,-418.499,0.822737,0.295333
108500,0,0.353635,-418.385,0.785124,0.302
109000,0,1.11092,-418.604,0.0263549,0.321
109500,0,1.02646,-419.464,0.110012,0.304
110000,0,-0.821111,-419.886,0.534947,0.361923
110500,0,0.822592,-419.417,0.192983,0.34
111000,0,-0.0691664,-420.048,1.18756,0.296
111500,0,1.09615,-419.184,0.0278911,0.248
112000,0,0.97886,-420.099,0.133546,0.2754
112500,0,0.3381,-419.318,0.787664,0.268
113000,0,0.106512,-419.162,1.02216,0.2625
113500,0,1.0375,-419.175,0.0937366,0.288
114000,0,-0.0155072,-419.238,1.13987,0.2855
114500,0,0.615631,-418.984,0.518641,0.316
115000,0,0.700567,-419.552,0.427734,0.312
115500,0,0.630121,-419.807,0.499349,0.274
116000,0,0.905628,-419.219,0.233055,0.268
116500,0,0.830413,-418.857,0.298304,0.31
117000,0,0.52251,-418.864,0.180107,0.338136
117500,0,0.882345,-420.149,0.255975,0.36
118000,0,0.458026,-418.431,0.106032,0.347
118500,0,0.105859,-419.792,0.560412,0.316
119000,0,0.858368,-424.528,0.262533,0.331
119500,0,0.585991,-418.826,0.455468,0.354
120000,0,-0.0653081,-420.164,0.662056,0.353
120500,0,-1.06644,-420.266,1.61864,0.35
121000,0,0.782875,-418.391,0.362335,0.382
121500,0,1.11856,-418.391,0.027729,0.29
122000,0,0.0346551,-419.178,1.09305,0.291889
122500,0,0.530497,-419.07,0.599479,0.236
123000,0,-0.846984,-418.551,0.0114991,0.36
123500,0,0.265455,-418.266,0.619887,0.416
124000,0,-1.06761,-419.435,0.149233,0.393
124500,0,-0.793917,-418.319,1.54248,0.336
125000,0,0.760942,-418.691,0.30105,0.343
125500,0,-0.986014,-418.321,0.0389863,0.338
126000,0,-2.68846,-419.426,0.800135,0.353
126500,0,0.948744,-418.973,0.0291812,0.352
127000,0,0.00878101,-418.491,1.12798,0.305
127500,0,0.35028,-418.601,0.787432,0.324
128000,0,1.08521,-419.388,0.0485427,0.329
128500,0,1.12106,-418.992,0.0127629,0.308
129000,0,1.05843,-419.688,0.0646236,0.286538
129500,0,0.937797,-419.406,0.182951,0.24
130000,0,1.05019,-418.943,0.0902028,0.289
130500,0,1.10774,-419.575,0.023899,0.3
131000,0,1.01231,-418.97,0.127735,0.336
131500,0,0.591097,-418.449,0.54631,0.344
132000,0,0.491156,-422.423,0.59677,0.255
132500,0,0.00965465,-424.879,1.0992,0.266
133000,0,0.811945,-419.05,0.317883,0.259
133500,0,-0.499027,-423.363,1.60155,0.29
134000,0,1.02926,-422.829,0.112857,0.272
134500,0,0.571912,-419.368,0.566587,0.322
135000,0,-0.466774,-419.022,1.51497,0.370444
135500,0,0.565557,-418.731,0.554597,0.374
136000,0,0.810294,-418.712,0.327945,0.381
136500,0,0.617893,-421.077,0.0659401,0.342
137000,0,-0.875405,-418.959,0.0832801,0.33
137500,0,-1.39211,-420.021,1.70498,0.402
138000,0,1.06553,-419.481,0.0560932,0.294286
138500,0,0.802769,-418.399,0.334539,0.322
139000,0,0.983255,-419.285,0.150326,0.317
139500,0,1.05252,-419.025,0.0856,0.296
140000,0,0.689098,-418.822,0.45156,0.276
140500,0,1.00205,-421.21,0.125876,0.32
141000,0,0.196215,-422.341,0.912614,0.282263
141500,0,0.878839,-418.893,0.257549,0.26
142000,0,0.458748,-418.712,0.678875,0.288
142500,0,0.00519843,-418.543,1.12828,0.304
143000,0,0.653304,-419.407,0.469843,0.269
143500,0,-0.866073,-419.351,1.99188,0.288
144000,0,0.624769,-418.981,0.52056,0.3
144500,0,0.659541,-419.012,0.481285,0.322
145000,0,0.84301,-421.975,0.29462,0.316
145500,0,0.0479602,-418.643,1.09277,0.306
146000,0,0.143466,-418.826,0.998999,0.277
146500,0,0.798562,-421.448,0.334394,0.32
147000,0,0.711924,-419.782,0.0782967,0.359
147500,0,0.700691,-418.194,0.232664,0.366
148000,0,0.100058,-419.22,0.327998,0.369
148500,0,-0.1437,-419.128,0.0828493,0.394
149000,0,0.707801,-418.73,0.163661,0.374
149500,0,-0.0333259,-419.485,0.583245,0.354
150000,0,0.316576,-420.447,0.220575,0.342
150500,0,0.177791,-418.442,0.888986,0.418
151000,0,0.817061,-419.904,0.294485,0.292941
151500,0,-0.0873949,-420.025,1.19669,0.248
152000,0,1.09757,-420.033,0.022632,0.247
152500,0,0.546031,-419.68,0.569776,0.272
