generation,N_shifts,logPrior,logLik,eventRate,acceptRate
314500,12,-24.7357,-47722.3,4.08082,0.328
315000,12,-22.5816,-47722.9,7.15688,0.298
315500,12,-21.5384,-47724.7,5.61694,0.242
316000,12,-18.2705,-47717.7,5.85791,0.26
316500,12,-21.2384,-47709.6,7.33441,0.276
317000,13,-21.1298,-47705.5,8.46555,0.277
317500,15,-20.5167,-47700.1,6.84894,0.326
318000,15,-19.4784,-47705.8,8.50235,0.352
318500,14,-21.18,-47706.8,9.42589,0.362
319000,13,-22.7347,-47706.4,8.33026,0.338
319500,12,-22.4177,-47702.1,7.31668,0.284
320000,12,-20.0355,-47706.1,6.63734,0.286
320500,12,-12.5558,-47699.3,5.4908,0.294
321000,12,-17.4929,-47710.6,8.3535,0.29
321500,12,-10.3412,-47711.6,4.12366,0.288
322000,13,-17.7455,-47701.2,7.68398,0.285
322500,14,-13.1287,-47699.1,6.99153,0.296
323000,14,-18.117,-47695.9,8.6992,0.3
323500,14,-15.6717,-47698,6.20635,0.328
324000,15,-24.6557,-47693.1,10.2411,0.324
324500,14,-16.9468,-47696.4,8.30553,0.29
325000,13,-21.5681,-47699,10.9145,0.291
325500,14,-20.78,-47704.6,8.07396,0.308
326000,13,-23.4401,-47706.6,7.57006,0.286
326500,13,-23.1289,-47702,11.5483,0.242
327000,14,-28.2089,-47706.9,8.81668,0.268
327500,14,-21.3968,-47704,9.37087,0.318
328000,14,-24.1513,-47697.4,7.93037,0.314
328500,15,-23.0027,-47703.4,9.45515,0.334
329000,14,-20.9115,-47700.8,5.65797,0.327
329500,14,-15.6833,-47699.3,4.25687,0.31
330000,14,-19.0623,-47703.2,8.92994,0.303
330500,14,-22.3479,-47701.3,5.97446,0.328
331000,15,-28.5378,-47696.6,4.98352,0.317
331500,15,-23.1837,-47700.9,8.69183,0.31
332000,13,-19.4955,-47691.4,7.33069,0.293
332500,13,-18.722,-47690.8,4.6596,0.266
333000,10,-16.0735,-47852.1,7.77404,0.293632
333500,10,-7.94653,-47855.5,4.24807,0.264
334000,10,-12.0731,-47852.3,4.97351,0.266
334500,11,-10.8052,-47853,7.96441,0.258
335000,10,-13.5948,-47848.7,8.79469,0.276
335500,10,-12.1099,-47849.1,5.86122,0.29
336000,13,-15.6723,-47686.6,4.82725,0.2835
336500,13,-15.3297,-47693.8,4.7589,0.266
337000,15,-25.7271,-47696.3,8.47955,0.272
337500,14,-20.2184,-47698.2,6.69182,0.324
338000,14,-24.3486,-47708.5,6.26135,0.306
338500,14,-26.5698,-47709.5,6.49131,0.29
339000,14,-22.26,-47702.3,8.5993,0.286
339500,14,-27.4472,-47687.9,8.25948,0.28
340000,11,-16.4451,-47848.6,6.19558,0.2586
340500,11,-14.9706,-47842.2,5.60759,0.256
341000,11,-11.0617,-47842.2,4.15109,0.261
341500,11,-13.6062,-47843.3,2.7705,0.268
342000,12,-11.9197,-47843.6,4.54977,0.287
342500,12,-14.3232,-47843.4,8.77854,0.306
343000,14,-24.593,-47699.4,10.96,0.3055
343500,13,-20.5582,-47693.2,7.3947,0.334
344000,13,-18.0402,-47698.1,3.98605,0.303
344500,13,-24.5732,-47695.7,6.62789,0.292
345000,14,-21.9564,-47706.3,4.74676,0.291
345500,15,-17.609,-47691.5,5.96999,0.35
346000,15,-21.1467,-47691.7,7.56021,0.347
346500,18,-31.0863,-47686,8.21581,0.332
347000,17,-19.7804,-47687.3,7.3295,0.336
347500,17,-25.0609,-47687.6,9.21836,0.334
348000,16,-23.9815,-47685.2,6.21598,0.33
348500,17,-25.755,-47679.9,11.7588,0.332
349000,16,-21.7582,-47689.6,10.4113,0.333
349500,18,-30.5995,-47684.3,14.3515,0.35
350000,18,-28.1576,-47682.8,9.04547,0.336
350500,19,-28.0669,-47681.1,7.98487,0.352
351000,18,-25.2144,-47684.6,6.54583,0.353
351500,18,-23.8023,-47695.4,8.64968,0.366
352000,17,-26.7238,-47679,10.9883,0.367
352500,17,-28.3408,-47678.8,8.50882,0.386
353000,19,-24.7327,-47680.1,9.68669,0.384
353500,20,-23.284,-47695.1,10.3333,0.352
354000,20,-22.6846,-47684.6,11.2685,0.351
354500,21,-36.4803,-47672.3,12.462,0.38
355000,22,-38.2166,-47618.8,9.68174,0.361
355500,22,-36.0626,-47593.5,10.0139,0.316
356000,21,-37.6092,-47580,7.97356,0.338
356500,20,-36.6987,-47582.8,12.4983,0.336
357000,21,-40.1688,-47585.7,13.6131,0.325
357500,20,-36.7879,-47572.5,10.9013,0.332
358000,18,-30.7202,-47578.5,7.94813,0.335
358500,18,-33.0878,-47576.6,9.28893,0.324
359000,18,-34.0034,-47574.4,7.10623,0.327
359500,20,-37.5806,-47581.9,13.3416,0.32
360000,19,-42.1971,-47568.8,10.1106,0.317
360500,18,-47.1789,-47562.3,14.2621,0.304
361000,18,-49.1102,-47575.5,11.7259,0.322
361500,18,-42.9648,-47567.9,11.2287,0.302
362000,18,-42.3615,-47574.5,11.6031,0.3
362500,18,-38.2082,-47576.5,6.30285,0.284
363000,13,-23.2571,-47752.6,9.07177,0.313693
363500,13,-22.8104,-47748.9,9.2292,0.29
364000,13,-24.2631,-47757.4,6.93525,0.291
364500,13,-21.6489,-47760.8,6.55669,0.302
365000,13,-18.7846,-47753.9,6.15131,0.302
365500,13,-25.3018,-47757.7,4.88332,0.29
366000,14,-23.8721,-47719.3,6.24692,0.301208
366500,13,-22.8104,-47721.7,6.98459,0.3
367000,13,-29.8408,-47723.4,8.41689,0.32
367500,15,-30.6396,-47713.4,10.1652,0.28
368000,15,-22.1376,-47715.7,5.7543,0.302
368500,15,-21.8792,-47717.3,5.78486,0.296
369000,15,-33.0611,-47703.7,8.67889,0.308
369500,15,-31.1649,-47705.3,10.7023,0.342
370000,14,-24.2206,-47711.7,4.57275,0.314
370500,14,-23.567,-47707.6,5.875,0.324
371000,14,-30.9663,-47703.1,9.43943,0.319
371500,15,-27.1024,-47696.7,5.71574,0.32
372000,15,-33.9942,-47699,11.9224,0.315
372500,15,-38.9506,-47690.8,10.0183,0.292
373000,15,-38.9347,-47696.2,6.4678,0.291
373500,14,-35.299,-47698.1,8.61632,0.364
374000,13,-27.3889,-47737.6,9.01399,0.328889
374500,14,-28.7262,-47727.6,6.22293,0.298
375000,14,-32.7742,-47715.3,8.2249,0.293
375500,15,-29.1592,-47718.8,6.08136,0.27
376000,15,-33.4783,-47718.9,7.92134,0.286
