"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
637;0,16767480554264;0,0919270046378968;0,0867846658160909;0,0577489911444373;0,139864856159638;0,000371575330430976;0,158630761452954;3,95126318709569;0,921139771925723;2,63866638305481;2,54623556466847;0,621348524907538;-373,392713490944
638;0,129935226599544;0,0209266943675616;0,102861073756276;0,0728993475002709;0,156372012350726;0,00363763473654404;0,312237739582088;6,20394656579111;1,1498017299746;3,5048242453654;2,93876877678672;0,726344245367648;-373,41996931715
639;0,0740327448709581;0,00424331298338068;0,125959716052515;0,119870689755619;0,0661134750521337;0,00763837724108611;0,0460492125203391;5,14017152273631;0,154657980550716;4,54241732344035;2,87007832750041;0,653182418445762;-373,326758200475
640;0,0458159486087821;0,315901835168936;0,093113105204081;0,0544458761328829;0,0166223776110433;0,0115656149244372;0,396922964662079;5,00418882466837;0,35399171220993;9,48511532090783;2,27202357845083;1,38923420197762;-376,257395248574
641;0,0361967262838796;0,286447722587727;0,0910782099477719;0,096331313700491;0,059891787484127;0,0192185962351179;0,11496924880564;4,03757307207142;0,372323806008145;5,19395217140636;2,22264113162058;0,918972937133749;-373,642016288462
642;0,0723261445039798;0,207862266356726;0,123632135946357;0,112595377623915;0,437789197953104;0,01150516369787;0,081690250184867;3,35637645049349;0,716762552312828;4,76780272432767;0,984863629555367;0,961928794619114;-376,334979123215
643;0,116905648878727;0,236086674534414;0,115491711092075;0,172770907333335;0,479421772311261;0,00711893517504004;0,00429090848000276;2,80288363605235;2,36113392733395;5,26493626322615;1,13035981676962;0,70203630506303;-377,357357537649
644;0,0846472266703027;0,231799416933;0,12132823712115;0,152389494961347;0,188869011444094;0,0237398845283757;3,38131887168717;0,245954395490875;0,875141927409067;7,48220717126945;1,74033162439527;0,0117748346347136;-375,754819641233
645;0,0370607687508134;0,35926465035911;0,126075633362475;0,0611965709406623;0,245520374691341;0,0402876282817216;2,11421888728101;2,10808978966322;0,816883171967848;6,76949828891457;2,43570394755089;0,072237757761764;-375,468085196614
646;0,0524206567476559;0,195692559408015;0,121821268151359;0,00729821831300824;0,124745145930673;0,0224206226357464;2,7611716347015;1,15255751007283;2,13978560604959;5,71427381216019;2,37393621211779;0,472445561258474;-375,449125395149
647;0,0540213833388165;0,156173361875601;0,118603999233743;0,000632373869718832;0,127576882685512;0,0361994165912424;3,41824141531395;2,18128461630834;1,79420470715252;7,70097674837351;2,56549562365874;0,0975617538428543;-374,523449560246
648;0,0612802059694602;0,23261140136648;0,112820097539175;0,0602878039107712;0,423524759779894;0,0574857306681328;3,55313482169709;1,664569726204;1,57496574970293;13,5504703353696;2,2496430760514;0,0557069045507755;-383,389047906212
649;0,0894733823232789;0,204516724428403;0,11771264967733;0,0403635323496205;0,191168322630059;0,0706891123182985;5,05121507520553;1,82465283292482;3,25965603474864;6,46320797530076;2,54455218744364;0,248705605156579;-379,247096426726
650;0,0853190766360592;0,270250046355906;0,112964099618012;0,0354323101000272;0,203024433709573;0,0279766935630372;4,4514114155228;2,30567723887262;4,40888708158374;9,88287276054014;2,94654774376708;0,333821159039703;-380,024483243511
651;0,0197544001275436;0,327567775117698;0,0930124832001297;0,0168048171623617;0,100756121894529;0,0248973359100442;5,03393820087089;1,98373926092117;6,29886307567416;9,67528192807724;3,39437299787017;0,418679596700142;-379,946996785674
