Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden[3]	extinction_hidden[4]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_hidden_unormalized[3]	extinction_hidden_unormalized[4]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	R[3]	R[4]	R[5]	R[6]	R[7]	R[8]	R[9]	R[10]	R[11]	R[12]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden[3]	speciation_hidden[4]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_hidden_unormalized[3]	speciation_hidden_unormalized[4]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
20	0	-747.2149	-767.9781	20.76325	0.125016	0.104413	0.18304	0.152874	0.245141	0.204742	0.358919	0.299769	0.548245	0.802703	1.07505	1.57401	0.4584073	0.590179	0.8641	1.15727	1.6944	0.228029	0.19045	0.0001616294	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.000161629	0.105242	0.029407	0.194188	0.00188025	0.23074	0.175286	0.181053	0.0822041	0.150749	0.180382	0.299758	0.358682	0.507579	0.607354	1.0093	1.2077	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.491847	0.588529	0.000725353	0.00221081
21	1	-695.3628	-714.1265	18.7637	0.893568	0.622313	0.900067	0.626839	0.905079	0.63033	0.911661	0.634914	0.99	0.9972	1.00275	1.01005	0.008713273	0.990027	0.997227	1.00278	1.01007	0.902594	0.628599	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	4.5983e-07	0.0395919	0.09715	0.391929	0.0473254	0.195219	0.0216128	0.109447	0.097724	0.914151	0.651354	0.948807	0.676046	0.976247	0.695598	1.01326	0.721968	0.949161	0.985143	1.01363	1.05206	0.04473808	0.949837	0.985846	1.01436	1.05281	0.963115	0.686242	0.00234112	0.00195332
22	0	-739.4191	-760.5408	21.12169	0.125016	0.0613959	0.18304	0.0898916	0.245141	0.12039	0.358919	0.176267	0.548245	0.802703	1.07505	1.57401	0.4584073	0.590179	0.8641	1.15727	1.6944	0.228029	0.111986	0.0001463632	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.000146363	0.039869	0.0275245	0.27328	0.00175989	0.247097	0.164065	0.169463	0.0769419	0.150749	0.180382	0.299758	0.358682	0.507579	0.607354	1.0093	1.2077	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.491847	0.588529	0.000678673	0.00256774
23	1	-695.5501	-714.5216	18.9715	0.895788	0.623859	0.900693	0.627276	0.90447	0.629906	0.909423	0.633356	0.99246	0.997895	1.00208	1.00757	0.006566442	0.992475	0.99791	1.00209	1.00758	0.902594	0.628599	2.904435e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	2.90443e-07	0.0544842	0.133693	0.252527	0.157289	0.0871676	0.0297424	0.150615	0.134482	0.915593	0.652381	0.94925	0.676362	0.975873	0.695332	1.01175	0.720892	0.950657	0.985603	1.01325	1.05049	0.04340472	0.951295	0.986265	1.01393	1.0512	0.963115	0.686242	0.00208143	0.00186813
24	0	-732.322	-752.2127	19.8907	0.120558	0.0781142	0.180164	0.116735	0.245105	0.158814	0.36629	0.237334	0.528694	0.790091	1.07489	1.60633	0.4830258	0.5737	0.857348	1.16639	1.74307	0.228029	0.147749	0.0001192783	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.000119278	0.107146	0.025315	0.099172	0.00161861	0.227261	0.312863	0.155859	0.0707653	0.150749	0.180382	0.299758	0.358682	0.507579	0.607354	1.0093	1.2077	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.491847	0.588529	0.000832987	0.00399921
25	1	-693.3888	-711.7827	18.3939	0.897446	0.625372	0.901159	0.62796	0.904014	0.629949	0.907755	0.632556	0.994297	0.998411	1.00157	1.00572	0.004964126	0.994306	0.998419	1.00158	1.00573	0.902594	0.628959	3.019739e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	3.01974e-07	0.0551206	0.135254	0.255477	0.159126	0.0881858	0.0184086	0.152375	0.136053	0.915593	0.652381	0.94925	0.676362	0.975873	0.695332	1.01175	0.720892	0.950657	0.985603	1.01325	1.05049	0.04340472	0.951295	0.986265	1.01393	1.0512	0.963115	0.686242	0.00253352	0.00240696
26	0	-724.8571	-744.3054	19.44834	0.120558	0.089614	0.180164	0.133921	0.245105	0.182194	0.36629	0.272274	0.528694	0.790091	1.07489	1.60633	0.4830258	0.5737	0.857348	1.16639	1.74307	0.228029	0.169501	7.682625e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	7.68263e-05	0.148866	0.0351722	0.137788	0.00224887	0.315753	0.0453022	0.216548	0.0983203	0.151347	0.192124	0.300947	0.382031	0.509592	0.64689	1.01331	1.28632	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.493798	0.62684	0.000832987	0.00444845
27	1	-692.9341	-710.6328	17.69871	0.887811	0.624715	0.892159	0.627775	0.895505	0.63013	0.899892	0.633216	0.993253	0.998118	1.00186	1.00677	0.005874587	0.993265	0.99813	1.00187	1.00678	0.893842	0.628959	4.727118e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	4.72712e-07	0.0682681	0.167516	0.0778906	0.197081	0.10922	0.0227994	0.18872	0.168505	0.915593	0.652381	0.94925	0.676362	0.975873	0.695332	1.01175	0.720892	0.950657	0.985603	1.01325	1.05049	0.04340472	0.951295	0.986265	1.01393	1.0512	0.963115	0.686242	0.00317138	0.00297117
28	0	-717.6801	-737.3955	19.71541	0.120558	0.0652518	0.180164	0.0975136	0.245105	0.132663	0.36629	0.198254	0.528694	0.790091	1.07489	1.60633	0.4830258	0.5737	0.857348	1.16639	1.74307	0.228029	0.123421	5.039274e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	5.03927e-05	0.191904	0.073333	0.177623	0.00289902	0.127321	0.0583991	0.279152	0.0893689	0.151347	0.185975	0.300947	0.369805	0.509592	0.626188	1.01331	1.24515	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.493798	0.60678	0.00101747	0.00443178
29	1	-692.1188	-709.6109	17.49209	0.889932	0.626208	0.892754	0.628194	0.894922	0.629719	0.897759	0.631716	0.995626	0.998783	1.00121	1.00438	0.00380618	0.995631	0.998788	1.00121	1.00439	0.893842	0.628959	4.776892e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	4.77689e-07	0.0682681	0.167516	0.0778906	0.197081	0.10922	0.0227994	0.18872	0.168505	0.912009	0.649827	0.948146	0.675576	0.976801	0.695993	1.01551	0.723571	0.946936	0.984457	1.01421	1.0544	0.0467214	0.947673	0.985223	1.015	1.05522	0.963115	0.686242	0.00276992	0.00372216
30	0	-714.5097	-734.3991	19.88938	0.120558	0.0661935	0.180164	0.0989208	0.245105	0.134578	0.36629	0.201115	0.528694	0.790091	1.07489	1.60633	0.4830258	0.5737	0.857348	1.16639	1.74307	0.228029	0.125202	2.859238e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	2.85924e-05	0.179741	0.0686854	0.166366	0.00730127	0.119252	0.10842	0.26146	0.0887738	0.151725	0.192256	0.301328	0.381824	0.509756	0.64593	1.01238	1.28283	0.307261	0.610226	1.03232	2.0502	0.8249636	0.387129	0.768845	1.30065	2.58312	0.493798	0.625709	0.0010709	0.0040301
31	1	-692.1626	-709.8132	17.65057	0.886573	0.623845	0.891811	0.62753	0.895845	0.630369	0.901138	0.634093	0.991868	0.997728	1.00224	1.00816	0.007082244	0.991886	0.997746	1.00226	1.00818	0.893842	0.628959	6.127981e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	6.12798e-07	0.0365392	0.189125	0.0879386	0.222505	0.0348443	0.0257406	0.213065	0.190243	0.912009	0.649827	0.948146	0.675576	0.976801	0.695993	1.01551	0.723571	0.946936	0.984457	1.01421	1.0544	0.0467214	0.947673	0.985223	1.015	1.05522	0.963115	0.686242	0.00281076	0.00340077
