"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
50;0,142279484108369;0,525719058509266;0,0710180230431213;0,0588543215772887;0,630589107391833;0,0263187382835183;1,87806432973062;1,59755572487455;7,45401754355161;0,852740485016178;0,797148225718404;0,0645933917402777;-375,577002025758
51;0,127725400371034;0,466962085300224;0,0964206020391036;0,0461954044520305;0,397195580237509;0,0406475163967697;1,2500362065898;1,49871422763247;3,72275887667896;1,38147455611557;0,788408993042908;0,123959058904737;-373,301000095452
52;0,0203552084149539;0,445503306244489;0,13247546612548;0,0795866408388565;0,00594559502715567;0,0782694335720707;1,4426579787611;1,38798845871147;5,02305632238138;1,04103401358484;0,52210776592173;0,386988508127318;-372,745836489638
53;0,0149979378741333;0,274860078157139;0,145916448392377;0,00177532443141764;0,124559172329012;0,0797529492732544;1,28820072660624;1,51934746223311;6,11826387831292;1,51029455142701;0,976777289808178;0,568250869723671;-373,475077546525
54;0,0612662323294492;0,067287755457572;0,158912679877902;0,0062649823426341;0,306921930677436;0,0242226502956309;2,48583897951035;2,41053183302373;5,48056515082651;1,422735600601;1,31145717919932;0,45869406855533;-373,576897308446
55;0,0496058219279087;0,274652750200781;0,142307098439991;0,0253827014031344;0,258008308024817;0,0579579021203976;1,40511121052561;2,19138239165847;3,506152734917;1,46586326591551;1,16347065094179;0,321503020924091;-372,514574306226
56;0,0374034457416315;0,251579802360807;0,118684783152829;0,0255539739655004;0,177393249132087;0,0576672484649149;1,02828160939593;2,10394259652777;3,35665440629713;0,681290563602653;0,584612195834699;0,410364960906305;-371,120337082098
57;0,00176270768037591;0,34958235111578;0,121784869124271;0,0426309363946091;0,190296290563493;0,00527616528234862;0,149326198044564;2,0331999806211;3,05793402134241;0,57862021587877;1,01093537899273;0,437036279038466;-369,857174470661
58;0,00925091460651571;0,485915105539156;0,11420475967166;0,0320431060693164;0,45259596268247;0,00269780690270218;0,183925172381618;3,13464377731272;2,93862408040609;0,478777144200449;1,15986802480905;0,320496172872249;-371,291775626697
59;0,000754840772632119;0,456548079698515;0,11225427480554;0,0722885596643186;0,155591764163316;0,00338361021961199;0,0638586885794998;2,13839447588782;1,88458719163514;0,44769044185527;0,714041268567062;0,436486283894569;-371,117518182708
60;0,00809898716941965;0,445733709489466;0,115216237281342;0,22595693704618;0,0366031874119996;0,0253207164978724;0,206263562820807;1,9351045721085;1,85330296408168;0,554177996658594;0,529499874340476;0,480128525377328;-372,957407721769
61;0,0299741878185965;0,294545632714271;0,118933209639507;0,173564609703783;0,0335880244185666;0,0265886075045637;0,226680878453153;1,22637293755457;1,84990698532757;2,38748717679817;0,308974478041153;0,992196164160985;-370,954020144382
62;0,0209144658618831;0,313286334795564;0,1341112879602;0,234474005553853;0,0247032250330551;0,0285296306587601;0,402095616084408;1,33924877877572;2,06196473432499;4,25622918214417;0,507669479682805;1,30630742915754;-373,783920659357
63;0,0194820635855134;0,370284361182678;0,111282207161883;0,0578358246464735;0,296226306410647;0,0115218082050175;0,567251592711479;1,62295504064172;1,48121425654259;4,70185353736587;0,559406325237225;1,03602887646468;-372,118232274734
64;0,00342093921944567;0,296191150575338;0,129706052187845;0,045930388045535;0,320160910064617;0,000564539967470256;0,217181788203593;1,76611040702343;1,77828316342197;3,91603497175626;0,658023237447676;0,714560494259877;-370,585715072559
65;0,0107126338295326;0,245350444360982;0,107830793511919;0,000458487095810691;0,349249482878421;0,0149130626127957;0,163180756999057;1,45594297585834;2,35322390360813;3,73599043547834;0,52791063659479;0,727005493114306;-370,556781395102
66;0,0368536177512333;0,183688526728036;0,0999806447333697;0,000346679723079626;0,188579248360553;0,0037376033344438;0,502355843280945;1,19044812943094;0,325711504063082;6,72130310001902;0,728864840497264;1,13832192151338;-369,361373171275
67;0,0655282408011572;0,128073241169562;0,100497810506591;0,0045216163357268;0,0554190540446734;0,0127134359359499;0,863883685552514;0,88611323446542;0,992824820124378;8,73316161723971;0,722407706674271;3,44721259459172;-374,361749248768
68;0,0413227503558247;0,0838533793151659;0,117865752885019;0,00432948646188244;0,0859853355801664;0,0078968582998414;0,985885491811431;0,586246574388062;1,92070576017015;9,538419477954;0,753423653895642;1,83447381827603;-372,640058971752
69;0,0443481147872613;0,110138496470149;0,10994620623802;0,00922149768233784;0,130821730266031;0,0027327132089294;3,30089209021022;0,448254411134159;3,03527306837067;8,83204430769337;0,697890772203817;1,62889983125338;-374,239611101984
70;0,0261144097898582;0,0933544097071352;0,112350558899278;0,000522300349091436;0,142783377642379;0,0209634557874488;3,33057333765704;0,637069078474397;5,56212460013711;7,69407707741692;0,701300363560538;1,74415852443067;-375,593453759263
71;0,0574964159653085;0,0602734804681255;0,134369234512181;0,0357256736028398;0,0396238819862431;0,0205592795868026;2,70979894640351;0,483051602749634;6,28805525933397;11,2468203088837;0,739535653072195;0,993417277587745;-376,581511077042
72;0,0507406504374233;0,0605652083958924;0,138455875145425;0,18341787925386;0,0783086814088835;0,0268264955535096;2,55213470653169;1,07585831683189;5,41587945426982;7,45994163251632;0,634395208804795;1,14052846597202;-377,452930845252
73;0,116029031837653;0,059170252533161;0,137838618962479;0,0873430523398036;0,254545593914008;0,00365026578777678;1,02718201391053;0,989542421809568;2,86832162799305;7,31284805982368;0,721808694574262;1,55802093861603;-374,370282613915
