Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
103	1	-659.5783	-663.1587	3.580403	0.232045	0.374465	0.27791	0.448479	0.910061	1.08994	0.1337047	0.913764	1.09437	0.254977	0.411472	8.423298e-06	8.4233e-06	8.4233e-06	0.437688	0.431638	0.0509658	0.0797088	0.253114	0.445604	0.799016	1.40666	0.481145	1.51885	0.8521573	0.562834	1.77672	0.526065	0.926132	0.00241306	0.0175806
104	0	-671.356	-669.6178	-1.738227	0.210776	0.172905	1.16622	0.956679	0.306139	1.69386	1.268164	0.425129	2.35223	0.688499	0.564792	3.595172e-05	3.59517e-05	3.59517e-05	0.409803	0.122492	0.172623	0.295083	0.234013	0.263511	1.02998	1.15981	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.711659	0.00250609	0.0205498
105	1	-659.0883	-662.187	3.098646	0.236334	0.381386	0.273621	0.441558	0.926882	1.07312	0.1085988	0.92937	1.076	0.254977	0.411472	7.234964e-06	7.23496e-06	7.23496e-06	0.56171	0.327753	0.0386995	0.0718377	0.253114	0.436264	0.799016	1.37718	0.481145	1.51885	0.8521573	0.562834	1.77672	0.526065	0.90672	0.00298221	0.0179828
106	0	-668.0227	-667.246	-0.7767338	0.210776	0.172905	1.16622	0.956679	0.306139	1.69386	1.268164	0.425129	2.35223	0.688499	0.564792	3.639498e-05	3.6395e-05	3.6395e-05	0.418244	0.138849	0.10842	0.334487	0.234013	0.263511	1.02998	1.15981	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.711659	0.00146851	0.0198774
107	1	-659.9804	-662.8949	2.914511	0.236334	0.381386	0.273621	0.441558	0.926882	1.07312	0.1085988	0.92937	1.076	0.254977	0.411472	9.637132e-06	9.63713e-06	9.63713e-06	0.541556	0.315993	0.037311	0.105139	0.257128	0.436264	0.811688	1.37718	0.481145	1.51885	0.8521573	0.562834	1.77672	0.534408	0.90672	0.00327922	0.0179828
108	0	-668.7153	-670.1968	1.481467	0.210776	0.172905	1.16622	0.956679	0.306139	1.69386	1.268164	0.425129	2.35223	0.688499	0.564792	5.441923e-05	5.44192e-05	5.44192e-05	0.341515	0.28866	0.0885299	0.281295	0.234013	0.263511	1.02998	1.15981	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.711659	0.00131389	0.0159989
109	1	-662.2719	-666.6194	4.347515	0.237923	0.381386	0.27546	0.441558	0.926882	1.07312	0.1085988	0.92937	1.076	0.256691	0.411472	9.695263e-06	9.69526e-06	9.69526e-06	0.41481	0.11251	0.428711	0.0439693	0.257128	0.436264	0.811688	1.37718	0.481145	1.51885	0.8521573	0.562834	1.77672	0.534408	0.90672	0.00149911	0.0172031
110	0	-668.5361	-669.8806	1.344451	0.210776	0.172905	1.16622	0.956679	0.306139	1.69386	1.268164	0.425129	2.35223	0.688499	0.564792	5.481348e-05	5.48135e-05	5.48135e-05	0.50374	0.217546	0.0667195	0.211995	0.234013	0.263511	1.02998	1.15981	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.711659	0.00150006	0.016056
111	1	-661.6329	-667.2515	5.618619	0.234552	0.354981	0.278831	0.421995	0.913751	1.08625	0.1281919	0.917168	1.09031	0.256691	0.388488	9.038074e-06	9.03807e-06	9.03807e-06	0.575773	0.156169	0.193741	0.0743171	0.257128	0.436264	0.811688	1.37718	0.481145	1.51885	0.8521573	0.562834	1.77672	0.534408	0.90672	0.00165846	0.0148273
112	0	-667.1243	-668.1264	1.002033	0.210776	0.177025	1.16622	0.979475	0.306139	1.69386	1.268164	0.425129	2.35223	0.688499	0.57825	6.787773e-05	6.78777e-05	6.78777e-05	0.464265	0.280268	0.0611544	0.194312	0.234013	0.243287	1.02998	1.0708	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.657041	0.00142432	0.0168276
